Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Birthday of Verne Troyer (Griphook in SS),1/1/2017,12:00 AM,1/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Richard Leaf (John Dawlish),1/1/2017,12:00 AM,1/1/2017,12:00 AM,TRUE,,,FALSE
Birthday of Jim Norton (Mr. Mason),1/4/2017,12:00 AM,1/4/2017,12:00 AM,TRUE,,,FALSE
Birthday of David Ryall (Elphias Doge),1/5/2017,12:00 AM,1/5/2017,12:00 AM,TRUE,,,FALSE
Birthday of Eddie Redmayne (Newt Scamander in FBAWTFT),1/6/2017,12:00 AM,1/6/2017,12:00 AM,TRUE,,,FALSE
Birthday of Freddie Stroma (Cormac McLaggen),1/8/2017,12:00 AM,1/8/2017,12:00 AM,TRUE,,,FALSE
Birthday of Imelda Staunton (Dolores Umbridge),1/9/2017,12:00 AM,1/9/2017,12:00 AM,TRUE,,,FALSE
Birthday of Severus Snape,1/9/2017,12:00 AM,1/9/2017,12:00 AM,TRUE,,,FALSE
Birthday of Genevieve Gaunt (Pansy Parkinson),1/13/2017,12:00 AM,1/13/2017,12:00 AM,TRUE,,,FALSE
Birthday of Michelle Fairley (Mrs. Granger),1/17/2017,12:00 AM,1/17/2017,12:00 AM,TRUE,,,FALSE
Birthday of Alfie McIlwain (Young James Potter),1/18/2017,12:00 AM,1/18/2017,12:00 AM,TRUE,,,FALSE
Birthday of Louis Doyle (Ernie Macmillian),1/20/2017,12:00 AM,1/20/2017,12:00 AM,TRUE,,,FALSE
Birthday of Sitara Shah (Parvati Patil),1/21/2017,12:00 AM,1/21/2017,12:00 AM,TRUE,,,FALSE
Birthday of John Hurt (Mr. Ollivander),1/22/2017,12:00 AM,1/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Terence Bayler (The Bloody Baron),1/24/2017,12:00 AM,1/24/2017,12:00 AM,TRUE,,,FALSE
Birthday of Gilderoy Lockhart,1/26/2017,12:00 AM,1/26/2017,12:00 AM,TRUE,,,FALSE
Birthday of Lee Ingleby (Stan Shunpike),1/28/2017,12:00 AM,1/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Arben Bajraktaraj (Antonin Dolohov),1/29/2017,12:00 AM,1/29/2017,12:00 AM,TRUE,,,FALSE
Birthday of Tony Maudsley (Grawp),1/30/2017,12:00 AM,1/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Lily Evans Potter,1/30/2017,12:00 AM,1/30/2017,12:00 AM,TRUE,,,FALSE
Birthday of Warwick Davis (Griphook/Flitwick),2/3/2017,12:00 AM,2/3/2017,12:00 AM,TRUE,,,FALSE
Birthday of Arthur Weasley,2/6/2017,12:00 AM,2/6/2017,12:00 AM,TRUE,,,FALSE
Birthday of John Williams (Harry Potter Composer),2/8/2017,12:00 AM,2/8/2017,12:00 AM,TRUE,,,FALSE
Birthday of Carolyn Pickles (Professor Berbach),2/8/2017,12:00 AM,2/8/2017,12:00 AM,TRUE,,,FALSE
Birthday of Steffan Rhodri (Reg Cattermole),2/8/2017,12:00 AM,2/8/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ciarán Hinds (Aberforth Dumbledore),2/9/2017,12:00 AM,2/9/2017,12:00 AM,TRUE,,,FALSE
Birthday of Afshan Azad (Padma Patil),2/12/2017,12:00 AM,2/12/2017,12:00 AM,TRUE,,,FALSE
Birthday of Tom Moorcroft (Regulus Black),2/13/2017,12:00 AM,2/13/2017,12:00 AM,TRUE,,,FALSE
Birthday of Luna Lovegood,2/13/2017,12:00 AM,2/13/2017,12:00 AM,TRUE,,,FALSE
Birthday of Bonnie Wright (Ginny Weasley),2/17/2017,12:00 AM,2/17/2017,12:00 AM,TRUE,,,FALSE
Birthday of Roger Lloyd Pack (Barty Crouch Sr.),2/18/2017,12:00 AM,2/18/2017,12:00 AM,TRUE,,,FALSE
Birthday of Alan Rickman (Severus Snape),2/21/2017,12:00 AM,2/21/2017,12:00 AM,TRUE,,,FALSE
Birthday of Julie Waters (Molly Weasley),2/22/2017,12:00 AM,2/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Charlotte Skeoch (Hannah Abbott),2/22/2017,12:00 AM,2/22/2017,12:00 AM,TRUE,,,FALSE
Birthday of Kelly MacDonald (Helena Ravenclaw),2/23/2017,12:00 AM,2/23/2017,12:00 AM,TRUE,,,FALSE
Birthday of James and Oliver Phelps (Fred and George Weasley),2/25/2017,12:00 AM,2/25/2017,12:00 AM,TRUE,,,FALSE
Birthday of Timothy Spell (Peter Pettigrew),2/27/2017,12:00 AM,2/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of Julian Glover (Voice Of Aragog),2/27/2017,12:00 AM,2/27/2017,12:00 AM,TRUE,,,FALSE
Birthday of Georgina Leonidas (Katie Bell),2/28/2017,12:00 AM,2/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Alfred Burke (Professor Dippet),2/28/2017,12:00 AM,2/28/2017,12:00 AM,TRUE,,,FALSE
Birthday of Ron Weasley,3/1/2017,12:00 AM,3/1/2017,12:00 AM,TRUE,,,FALSE
